#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.017191781140921
   19  5 20 20 16  1157
   20  7 20 17 16   848
   19  8 19 17 33   846
   19  9 17 21 22   597
   19  6 20 14 33  1026
   20  8 21 11 38   644
   19  9 22 10 35   706
   18  1 28 20 25   791
   18 20 29  2 37   784
   19 16 31  2 39   976
   18 21 14  8 33   835
   18  1 20 21 33  1159
   18  1 19 25 30   621
   19  1 20 22 33  1361
   18 27 15  3 35   725
   18 25 18  3 39   798
   19 24 20  3 39   782
   18  7 34  5 18   655
   18  7 28  6 39   596
   19  5 37  5 37   710
   19  8 25  6 39   781
   18 10 24  6 36   636
   18 39 12  6 39   609
   18  5 37  6 31   857
   19  2 36 11 27   658
   18  5 35  6 39   783
   18  1 32 20  1   708
   18 28 21  2 32   726
   18  1 39  7 26   620
   18 19 10 17 39   606
   18 12 16 23  4   709
   18 15 16 22  1   600
   18 12 14 20 27   712
   18 16 17 10 39  1070
   18 18 20  6 32   599
   18 16 21  6 19   638
   18  4 26 20  1   654
   19  4 36 14  0  1447
   18 23 21  3 39   607
   18 18 14 13 30   619
   18 16 14 17 35   805
   18 12 14 19 33   810
   18 17 14 13 39   629
   18 16 12 24  6   703
   18 18 13 16 22  1040
   18 27 15  3 39  1867
   18 12 18  9 33   615
   18  6 31  9  1   647
   18  1 19 26 32   992
   18  1 25 17 32  2049
   18  1 30 14 27   967
   18  1 33 14 25   927
   19  1 33 12 33   816
   19  2 34 11 36   637
   18 25 17  4 15  1865
   18 26 15  4 36   648
   20 24 20  4 27   862
   19 25 14  6 31   809
   18 25 15  6 36   602
   18 25 15  5 38   921
   18  9 17 21 32  1866
   18 19 11 14 31   860
   18 21 15  8 26   586
   18 12 16 18 16   618
   18  4 26 10 18   651
   17  8 24 18 39   861
   22  4 34  8 36   652
   21  8 25 20  1   646
   21  9 24 10 36   682
   21  7 21 20 26   859
   20 14  7 18 39   811
   20  4 28 10 38   486
   21  6 29 12 10  1261
   20 16 14 17 39  1212
   20  9 21 21  1   610
   19  6 25 18 11   888
   19  5 39  8  9   645
   19  8 18 22 33  1005
   19  5 26 23  0   715
   18  4 26 26  0   865
   18 10 24 10 26   558
   18 11 21  9 28   632
   18  6 24 20 26  1636
   18  8 26 10 14   681
   18  6 19 25 32   883
   19  5 23 23  8   818
   20  4 21 23 27   611
   19  4 25 22 15   702
   18  4 21 25 12   628
   18  9 19 22 30   612
   18  9 24 12 16  1208
   18  5 39  7 29  2024
   19  5 39  5 37   830
   19  3 38  7 37   821
   18  1 38 10 28   701
   18  1 38 12 21  1209
   19  1 39 12 12   832
   19  1 37 13  6   603
   18 10 25 10 14  1259
   19 10 26  5 33   882
   18  2 26 22  5   635
   18 11 16 17 36   817
   18 12 16 18 33   831
   19 13 15 17 39   674
   19 11 16 22 28   673
   19 15 16 17 20   885
   18 11 12 18 37   592
   17 12  9 23 37   900
   21 12 12 19 37  1017
   17 18 19  9 39  1018
   19 12 20  9 39   695
   19 20 16  8 29   633
   19 17 20  9  2   675
   18 19 17  6 39   722
   18 19 18  7 30   693
   19 19 20  6 33   763
   18 17 16 14  2   605
   20 18 17 10 30   696
   18 10 24  9 36   601
   18 13 20  9 31   583
   18 18 17 10 37   595
   17 39 12 14 36  1312
   20 18 13 16 37   999
   20 22 12  8 39   718
   19 19 12 16 39   754
   19 21 14 13  1   717
   19 20 12 14 39  1027
   18 39 11 18  3   688
   17  4 34 14 34   755
   19  5 30 14 14   669
   19  4 26 14 35   838
   20  4 25 14 37   713
   18  1 26 18 35   978
   20  1 26 17 36   756
   20  2 26 19 32   732
   18  3 33 16  8  1509
   18  9 26 13  2   757
   20  9 23 14 26   659
   17  1 37 18 31   998
   18  1 39 15 17   686
   19  4 38 17  0   800
   19  2 39 13 19   801
   19  4 38 14 10   853
   19  4 37 12 31   734
   19  4 36  9 36   845
   19  4 35 14 34   806
   19  1 38 12 32  1036
   18  1 38 18  2  1186
   17  4 22 22 35  1201
   20  4 23 21 34  1172
   20 10 16 22 35  1162
   19  7 22 20 35   841
   18 14 15 19 34  1181
   19 15 15 20 12  1161
   19 14 16 18 30   946
   19 15 11 20 34   982
   19 13 12 24 30   668
   18 20 11 18 34  1200
   20 17 12 18 34   794
   19 17 12 18 37  1510
   18 14 16 20 30   979
   18  9 14 19 37   770
   18 14 15 18 36   742
   18 11 11 26 27   785
   18 12  9 27 27  1189
   18  8 22 20 35  1160
   18 14 11 18 38  1195
   18 17 14 18  7   915
   18 13 12 24 34  1373
   18 16 12 21 24   731
   17 13 11 20 38  2359
   18 10 12 22 36   729
   18  8 14 19 38   914
   17 20 16 12 30   797
   21 19 13 16 34   639
   21 16 15 15 39   790
   19 20 15 10 34   788
   19 17 16 12 39  1595
   18 21 13 12 33  2162
   19 21 16 12  3   753
   17 18 24  4 39  1676
   21 14 26  5 13   687
   19 15 26  3 33   705
   18 15 27  3 39  1546
   18 14 22  6 30   988
   18 13 23  7 15   724
   18 18 25  3 35   913
   17 39  2 25 35   723
   17  1 30 19 31   878
   19  1 32 19  8   908
   17  1 29 27  0   871
   19  1 24 28  0   789
   19  4 19 29  0   985
   17 22 16  8 25  1072
   19 22 15  8 34  1094
   17  1 33 17 34  1071
   20  1 33 18 32  1074
   17 17 12 20 36   867
   18 39  8 27 33   766
   18 19 10 20 33  1029
   17  0 23 27  2   795
   17 11 15 24 34   796
   18  8 16 27 27   842
   17 39 12 10 39  1169
   18 21 12 13 39   877
   17  5 30 14 34   677
   20  8 25 16 20  2385
   18  7 28  8 38  1229
   18  5 37  8 36   727
   18  5 25 19 32   824
   17  1 32 19 22   786
   17  4 25 22 29   804
   19  4 24 21 34  1868
   17 11 23  9 35   665
   17 12 26  9  8   869
   19 13 21  9 27   812
   17 29 19  2 30  1547
   17 17 14 17 39   807
   18 17 14 20 12   787
   17 16 17 13 26   870
   17 16 18 12 16   747
   19 12 18 26  0   738
   18 16 18 14  5   769
   18 17 19 10 16   808
   17 17 17 12 39   736
   17 25 17  4 39  1032
   17  2 26 21 19   752
   17  1 39 17 11  1238
   17  1 39 20  1  1044
   17  0 36 19 21  1331
   17 16 13 20 33  1685
   17  6 13 24 35  1563
   17 15 20  8 31  1869
   17 19 20  7 21   993
   18 17 20  8 31   874
   18 16 20  9 22   825
   17 18 20  6 39  1050
   17 12 12 18 39   891
   17 17 12 29  0   872
   17  1 39 10 30   968
   18  3 39 13 21   868
