#
# Version TT_2.0.5beta
#

#  Parameter thresholds:
    0.000003366210175    0.001512401693890    1.077935222672065    0.025367402581773
   24 45 26 27 22   848
   24 49 32 23 20   670
   24 49 29 25 20  1177
   25 49 28 24 30   954
   24 49 29 23 32   580
   24 36 29 23 37   937
   24 36 29 21 40   559
   25 38 27 20 44   980
   24 24 30 21 45   555
   23 26 30 23 42   548
   23 34 27 23 42   644
   24 37 29 22 40  1128
   23 27 27 24 42   686
   26 24 23 25 43   654
   25 20 25 27 40   834
   25 25 15 29 40   714
   24 24 21 27 43   522
   25 26 17 28 41  1169
   25 21 19 27 46   775
   24 23 25 28 37   711
   24 15 22 26 49   837
   23 18 41 27 11   996
   24 15 47 27  4   744
   24 19 49 34  0   833
   24 26 48 18 21   820
   23 37 32 21 39   639
   25 37 31 23 37   932
   24 44 36 18 32   646
   23 38 36 18 42   655
   25 37 34 19 40   550
   24 39 38 10 42  1056
   23 29 39 24 19   787
   25  9 38 24 32   806
   23 34 23 24 37   828
   24 49 28 24 32   982
   24 34 28 24 35   831
   24 32 21 24 42  1266
   23 33 32 18 46   698
   23 29 20 26 42   981
   25 34 25 25 35   816
   23 33 22 27 33   803
   24 33 26 27 29   581
   23 29 17 29 40   717
   23 33 32 23 38  1117
   23 46 49  3 35   649
   23 49 29 21 40   703
   24 49 21 26 33   830
   23 49 38  4 46   661
   23 44 41  5 46   589
   24 28 43  9 42   640
   23  4 42 15 44   776
   26 22 45 15 38   642
   24 27 40 14 42   628
   23 38 41  4 49   600
   23 33 33 16 46   697
   24 32 34 16 45  1109
   23 43 34 13 45   805
   23 33 33 13 49   819
   23 32 40 24 15   583
   23 24 28 27 32   552
   23 13 39 24 28   668
   23  6 36 25 29   667
   23  5 32 20 47   568
   23 36 33 23 33   566
   23 16 37 27 14   585
   23 23 27 29 28  1209
   23 49 35  7 47   658
   24 43 41  4 49   673
   23 49 26 24 35   657
   23 32 38 20 30   622
   23 39 39 17 27   558
   23 26 28 24 42   637
   23 12 33 24 39   815
   23 20 29 24 42   647
   23 27 34 24 30   556
   23 34 33 24 29   809
   23 31 38 21 30   643
   23 34 31 24 31   616
   23 18 30 28 31   692
   23 30 37 32  2  1112
   23 36 32 36  2   590
   23 29 34 34  3   795
   24 29 31 30  6   609
   23 29 40 21 28  1003
   23 24 37 28  8   794
   23 32 45 12 31   796
   22 20 14 32 46   551
   27  5 17 31 43   588
   25 24 17 29 44   979
   25 22 19 30 38   554
   24  7 19 32 38   621
   23 10 24 32 35   610
   24  3 29 29 35   729
   23 23 22 28 42   571
   24  2 19 32 41   689
   24  3 28 28 42   592
   23  5 19 31 44   662
   23 23 23 26 44   557
   23 23 15 32 39   708
   23 19 20 32 35   660
   23 21 25 28 42   659
   23 22 19 26 48   983
   22 18 10 34 35   696
   24  7 19 34 34   656
   22 12 19 35 15   666
   24 23 20 36  9   664
   22  6 34 28 32   620
   25  6 34 26 36   663
   25 15 33 28 28   615
   24 23 39 28 11   825
   23 23 37 27 15   604
   22 29 34 27 29   909
   26 27 29 27 33   623
   24 28 34 32  5   712
   24 33 33 25 29   758
   23 37 33 28  9   724
   25 32 30 27 29  1659
   25 38 32 30  6   723
   23 34 37 28  5   955
   23 34 39 25 12   957
   23 34 35 27 11   826
   22 14 29 32 28  1190
   25  1 34 32 10  1635
   25 14 32 29 24   753
   25 11 28 32 32   846
   24 31 27 34 10   734
   24 14 31 32 17   722
   23 31 26 32 13  1163
   23 22 31 31 12   920
   22 40 33 25 28   593
   25 38 35 27 11  1018
   26 42 36 25 12   918
   24 42 32 23 30   726
   24 40 33 23 33   740
   24 42 33 19 40   835
   23 35 30 27 24   683
   23 42 36 19 32   761
   23 39 35 23 25  1202
   23 40 38 24  9   912
   22 37 32 24 40  1302
   25 28 32 25 35   735
   24 32 28 24 42   829
   26 34 31 22 42  1262
   24 35 32 25 35   762
   24 31 29 27 33  1012
   23 21 32 25 42   807
   23 40 32 25 32   821
